  0.12582113E+01 -0.19116763E+02
  0.12728416E+01 -0.19080816E+02
  0.12874720E+01 -0.19046852E+02
  0.13021024E+01 -0.19015012E+02
  0.13167327E+01 -0.18985422E+02
  0.13313631E+01 -0.18958193E+02
  0.13459935E+01 -0.18933434E+02
  0.13606238E+01 -0.18911253E+02
  0.13752542E+01 -0.18891765E+02
  0.13898845E+01 -0.18875083E+02
  0.14045149E+01 -0.18861311E+02
  0.14191453E+01 -0.18850531E+02
  0.14337756E+01 -0.18842800E+02
  0.14484060E+01 -0.18838152E+02
  0.14629695E+01 -0.18836601E+02
  0.14775330E+01 -0.18836268E+02
  0.14920966E+01 -0.18835264E+02
  0.15066601E+01 -0.18833583E+02
  0.15212236E+01 -0.18831218E+02
  0.15357871E+01 -0.18828166E+02
  0.15503507E+01 -0.18824434E+02
  0.15649142E+01 -0.18820035E+02
  0.15794777E+01 -0.18814984E+02
  0.15940412E+01 -0.18809295E+02
  0.16086048E+01 -0.18802979E+02
  0.16231683E+01 -0.18796038E+02
  0.16377318E+01 -0.18788476E+02
  0.16522953E+01 -0.18780296E+02
  0.16668589E+01 -0.18771507E+02
  0.16814224E+01 -0.18762121E+02
  0.16959859E+01 -0.18752153E+02
  0.17105494E+01 -0.18741620E+02
  0.17251130E+01 -0.18730536E+02
  0.17396765E+01 -0.18718914E+02
  0.17542400E+01 -0.18706772E+02
  0.17688035E+01 -0.18694127E+02
  0.17833671E+01 -0.18681004E+02
  0.17979306E+01 -0.18667429E+02
  0.18124941E+01 -0.18653432E+02
  0.18270576E+01 -0.18639040E+02
  0.18416212E+01 -0.18624280E+02
  0.18561847E+01 -0.18609175E+02
  0.18707482E+01 -0.18593751E+02
  0.18853117E+01 -0.18578036E+02
  0.18998753E+01 -0.18562062E+02
  0.19144388E+01 -0.18545863E+02
  0.19290023E+01 -0.18529473E+02
  0.19435658E+01 -0.18512930E+02
  0.19581294E+01 -0.18496275E+02
  0.19726929E+01 -0.18479551E+02
  0.19872564E+01 -0.18462813E+02
  0.20018199E+01 -0.18446119E+02
  0.20163835E+01 -0.18429532E+02
  0.20309470E+01 -0.18413115E+02
